nazwa;kierunek;semestr;liczba godzin;typ
prawo pracy/komunikacja międzykulturowa;informatyka i ekonometria;3;15;wykład
fakultety 1,2,3;informatyka i ekonometria;3;90;wykład
programowanie zaawansowane;informatyka i ekonometria;4;15;wykład
programowanie zaawansowane;informatyka i ekonometria;4;30;laboratorium
programowanie zaawansowane;informatyka i ekonometria;4;15;projekt
bazy danych (SQL);informatyka i ekonometria;4;15;wykład
bazy danych (SQL);informatyka i ekonometria;4;30;laboratorium
bazy danych (SQL);informatyka i ekonometria;4;15;projekt
podstawy ekonometrii;informatyka i ekonometria;4;15;wykład
podstawy ekonometrii;informatyka i ekonometria;4;30;laboratorium
matematyka finansowa;informatyka i ekonometria;4;15;wykład
matematyka finansowa;informatyka i ekonometria;4;15;ćwiczenia
matematyka finansowa;informatyka i ekonometria;4;15;laboratorium
rachunkowość;informatyka i ekonometria;4;15;wykład
rachunkowość;informatyka i ekonometria;4;15;ćwiczenia
fakultety 4,5,6;informatyka i ekonometria;4;90;wykład
praktyki;informatyka i ekonometria;4
badania operacyjne;informatyka i ekonometria;5;15;wykład
badania operacyjne;informatyka i ekonometria;5;30;laboratorium
zarządzanie;informatyka i ekonometria;5;30;wykład
zarządzanie;informatyka i ekonometria;5;15;ćwiczenia
ekonometria;informatyka i ekonometria;5;15;wykład
ekonometria;informatyka i ekonometria;5;30;laboratorium
matematyka ubezpieczeniowa;informatyka i ekonometria;5;15;wykład
matematyka ubezpieczeniowa;informatyka i ekonometria;5;30;laboratorium
metody numeryczne/techniki symulacji komputerowych;informatyka i ekonometria;5;15;wykład
metody numeryczne/techniki symulacji komputerowych;informatyka i ekonometria;5;15;ćwiczenia
metody numeryczne/techniki symulacji komputerowych;informatyka i ekonometria;5;15;laboratorium
prognozowanie gospodarcze/systemy wspomagające podejmowanie decyzji w przedsiębiorstwie;informatyka i ekonometria;5;15;wykład
prognozowanie gospodarcze/systemy wspomagające podejmowanie decyzji w przedsiębiorstwie;informatyka i ekonometria;5;30;laboratorium
seminarium dyplomowe;informatyka i ekonometria;5;30;ćwiczenia
fakultety 7,8;informatyka i ekonometria;5;60;wykład
ekonometria przestrzenna;informatyka i ekonometria;6;15;wykład
ekonometria przestrzenna;informatyka i ekonometria;6;15;laboratorium
projektowanie systemów informatycznych;informatyka i ekonometria;6;15;wykład
projektowanie systemów informatycznych;informatyka i ekonometria;6;15;ćwiczenia
projektowanie systemów informatycznych;informatyka i ekonometria;6;15;laboratorium
ekonometryczne modelowanie procesów gospodarczych;informatyka i ekonometria;6;15;wykład
ekonometryczne modelowanie procesów gospodarczych;informatyka i ekonometria;6;30;laboratorium
systemy i rynki ubezpieczeniowe/rynki kapitałowe;informatyka i ekonometria;6;15;wykład
systemy i rynki ubezpieczeniowe/rynki kapitałowe;informatyka i ekonometria;6;15;ćwiczenia
wprowadzenie do systemów BI (Business Intelligence)/przetwarzanie danych w systemach analitycznych;informatyka i ekonometria;6;15;wykład
wprowadzenie do systemów BI (Business Intelligence)/przetwarzanie danych w systemach analitycznych;informatyka i ekonometria;6;15;laboratorium
fakultet 9;informatyka i ekonometria;6;30;wykład
seminarium dyplomowe;informatyka i ekonometria;6;30;ćwiczenia
praca licencjacka i egzamin dyplomowy;informatyka i ekonometria;6;20



